"Longitude","Latitude","Date","State","Temp","CO","NO2","SO2","AtmPres"
-119.7462,36.17,"2014-03-23","California",14.66,0.3,7.38,0.49,976.57
-119.7462,36.17,"2014-03-24","California",15.74,0.31,9.97,0.56,975.88
-119.7462,36.17,"2014-03-25","California",14.74,0.29,8.06,0.5,971.1
-119.7462,36.17,"2014-03-26","California",12.57,0.27,4.87,0.42,969.81
-119.7462,36.17,"2014-03-27","California",12.35,0.28,6.87,0.39,974.39
-119.7462,36.17,"2014-03-28","California",13.93,0.29,9.26,0.42,977.77
-119.7462,36.17,"2014-03-29","California",15.13,0.32,8.34,0.5,974.82
-119.7462,36.17,"2014-03-30","California",13.12,0.26,4,0.41,974.5
-119.7462,36.17,"2014-03-31","California",11.18,0.29,7.32,0.44,972.09
-119.7462,36.17,"2014-04-01","California",9.89,0.27,5.67,0.39,970.63
-119.7462,36.17,"2014-04-02","California",9.83,0.28,6.64,0.42,972.59
-119.7462,36.17,"2014-04-03","California",11.49,0.32,9.27,0.44,976.15
-119.7462,36.17,"2014-04-04","California",11.96,0.29,8.33,0.39,973.21
-119.7462,36.17,"2014-04-05","California",12.93,0.29,6.63,0.38,975.16
-119.7462,36.17,"2014-04-06","California",16.3,0.31,8.29,0.51,978.18
-119.7462,36.17,"2014-04-07","California",19.31,0.37,13.02,0.62,978.09
-119.7462,36.17,"2014-04-08","California",20.27,0.38,14.42,0.81,976.9
-119.7462,36.17,"2014-04-09","California",19.71,0.35,13.71,0.73,974.52
-119.7462,36.17,"2014-04-10","California",19.12,0.36,14.12,0.8,972.76
-119.7462,36.17,"2014-04-11","California",18.84,0.32,10.39,0.62,970.08
-119.7462,36.17,"2014-04-12","California",16.05,0.26,3.97,0.5,969.45
-119.7462,36.17,"2014-04-13","California",16.08,0.26,3.92,0.47,972.75
-119.7462,36.17,"2014-04-14","California",17.74,0.29,9.52,0.5,975.72
-119.7462,36.17,"2014-04-15","California",18.08,0.3,9.87,0.56,971.83
-119.7462,36.17,"2014-04-16","California",17.94,0.28,8.29,0.72,968.92
-119.7462,36.17,"2014-04-17","California",17.72,0.29,7.84,0.54,969.07
-119.7462,36.17,"2014-04-18","California",17.24,0.28,5.78,0.48,970
-119.7462,36.17,"2014-04-19","California",17.29,0.28,5.78,0.49,974.2
-119.7462,36.17,"2014-04-20","California",18.37,0.29,6.01,0.61,976.62
-119.7462,36.17,"2014-04-21","California",18.88,0.3,8.84,0.65,974.02
-119.7462,36.17,"2014-04-22","California",15.42,0.27,4.78,0.44,972.49
-119.7462,36.17,"2014-04-23","California",14.93,0.27,6.8,0.48,973.97
-119.7462,36.17,"2014-04-24","California",16.78,0.29,8.23,0.52,973.19
-119.7462,36.17,"2014-04-25","California",13.81,0.27,5.49,0.36,968.88
-119.7462,36.17,"2014-04-26","California",11.8,0.26,3.54,0.38,970.48
-119.7462,36.17,"2014-04-27","California",13.81,0.26,4.29,0.38,974.32
-119.7462,36.17,"2014-04-28","California",16.89,0.29,8.08,0.52,976.28
-119.7462,36.17,"2014-04-29","California",20.97,0.32,9.96,0.7,978.06
-119.7462,36.17,"2014-04-30","California",22.3,0.34,11.34,0.75,976.09
-119.7462,36.17,"2014-05-01","California",23.16,0.32,11.58,0.78,975.65
-119.7462,36.17,"2014-05-02","California",23.29,0.33,12.78,0.75,974.34
-119.7462,36.17,"2014-05-03","California",21.02,0.3,7.79,0.62,971.68
-119.7462,36.17,"2014-05-04","California",18.99,0.27,5.03,0.55,972.27
-119.7462,36.17,"2014-05-05","California",16.46,0.26,4.84,0.46,971.53
-119.7462,36.17,"2014-05-06","California",13.42,0.26,4.58,0.46,969.41
-119.7462,36.17,"2014-05-07","California",14.36,0.26,5.17,0.42,971.29
-119.7462,36.17,"2014-05-08","California",15.94,0.27,5.92,0.52,974.45
-119.7462,36.17,"2014-05-09","California",17.43,0.27,5.98,0.46,974.96
-119.7462,36.17,"2014-05-10","California",16.24,0.26,4.07,0.52,971.63
-119.7462,36.17,"2014-05-11","California",16.94,0.27,4.59,0.57,973.31
-119.7462,36.17,"2014-05-12","California",20.66,0.31,9.86,0.87,976.01
-119.7462,36.17,"2014-05-13","California",23.17,0.32,10.89,0.88,977.68
-119.7462,36.17,"2014-05-14","California",24.91,0.32,11.66,0.94,976.89
-119.7462,36.17,"2014-05-15","California",26.02,0.34,12.64,0.82,975.84
-119.7462,36.17,"2014-05-16","California",24.59,0.33,10.5,0.69,973.53
-119.7462,36.17,"2014-05-17","California",21.84,0.29,5.98,0.58,971.28
-119.7462,36.17,"2014-05-18","California",19.39,0.26,3.35,0.52,970.52
-119.7462,36.17,"2014-05-19","California",17.38,0.26,3.95,0.42,971.07
-119.7462,36.17,"2014-05-20","California",14.72,0.26,3.81,0.46,972.23
-119.7462,36.17,"2014-05-21","California",16.01,0.26,5.23,0.48,972.24
-119.7462,36.17,"2014-05-22","California",16.31,0.27,6.13,0.39,971.95
-119.7462,36.17,"2014-05-23","California",18.94,0.27,6,0.35,971.71
-119.7462,36.17,"2014-05-24","California",20.1,0.27,4.52,0.39,970.87
-119.7462,36.17,"2014-05-25","California",22.07,0.27,4.33,0.43,970.38
